variable_of_interest,psychometric_scale,partial_correlation,p_value,zero_order_correlation,zero_order_p_value,correlation_difference,abs_difference
valence,ctq_tot,0.21136844133759417,0.31046147967402055,-0.21879649024911238,0.2541570771355899,-0.43016493158670654,0.43016493158670654
time,rrs_tot,0.03933066029015366,0.8394761523981904,-0.3422455054564864,0.05122708872129612,-0.38157616574664005,0.38157616574664005
PC3,rrs_tot,0.15730026115224843,0.4240579053231881,-0.14932187297873148,0.4068901725185313,-0.30662213413097994,0.30662213413097994
confidence,mwq,-0.12383393673635013,0.5221704640010839,-0.4233004387608603,0.014106058730078917,-0.2994665020245102,0.2994665020245102
time,fne,0.2569999982551952,0.17835284077285948,-0.03399772399171777,0.8510133550396589,-0.290997722246913,0.290997722246913
confidence,rrs_tot,-0.3018477584407107,0.11152569781103994,-0.569300115049103,0.0005449333794698737,-0.26745235660839234,0.26745235660839234
time,self-esteem,0.0336465718822595,0.86243846304582,0.2935243113806443,0.09733754820078307,0.2598777394983848,0.2598777394983848
time,mwq,-0.11804683156381657,0.5419430477731624,-0.3628232985033055,0.037967550777658336,-0.24477646693948896,0.24477646693948896
onoff,rrs_tot,-0.12501425455141552,0.5181811384108512,-0.3628303647575237,0.0379635288742099,-0.2378161102061082,0.2378161102061082
valence,mwq,-0.25054484204965527,0.18989123105986358,-0.48741652425120474,0.004014319934533006,-0.23687168220154947,0.23687168220154947
confidence,age,0.06953378670921076,0.7200334344532873,0.3060578378287581,0.08323457824352759,0.23652405111954736,0.23652405111954736
PC3,sris,0.01598325077887595,0.9356611448453155,0.2267215037122565,0.204513873371142,0.21073825293338055,0.21073825293338055
confidence,a_rsq,0.018996486994100056,0.9220847940160253,-0.19018968897354585,0.2890791416967169,-0.2091861759676459,0.2091861759676459
PC3,bdi,0.163554451475161,0.4056276862424112,-0.041422303739715845,0.8189652919683803,-0.20497675521487685,0.20497675521487685
selfother,rrs_tot,0.23873621079148027,0.2123198503442988,0.03871307817967112,0.8306291635065258,-0.20002313261180915,0.20002313261180915
PC1,ctq_tot,0.2766947658503781,0.19057205981453793,0.08214118517807714,0.6718550576380806,-0.19455358067230097,0.19455358067230097
time,age,-0.1630746141160034,0.3979802050587863,0.027612773820704744,0.8787642550301269,0.19068738793670814,0.19068738793670814
confidence,self-esteem,0.010596220322523857,0.9564939705023153,0.19701131016316162,0.27180318722990476,0.18641508984063776,0.18641508984063776
PC3,a_rsq,0.26414431489194384,0.1743800770499934,0.0805548594773718,0.6558609862189193,-0.18358945541457206,0.18358945541457206
time,bdi,0.044593080920759975,0.8183311424059247,-0.1316025835450533,0.4653696988716598,-0.17619566446581328,0.17619566446581328
valence,rrs_tot,-0.46216897624739706,0.01159860108430033,-0.6373412827588282,6.640572224368945e-05,-0.17517230651143112,0.17517230651143112
PC1,a_rsq,0.1991196628426508,0.30971380101964185,0.03392663168860264,0.8513214425355238,-0.16519303115404818,0.16519303115404818
PC3,self-esteem,-0.2152733216550915,0.2712684774013785,-0.05227859851599255,0.7726307378108228,0.16299472313909896,0.16299472313909896
confidence,bdi,-0.11040606573541703,0.5685761666418923,-0.27126557449057814,0.12675827431612072,-0.1608595087551611,0.1608595087551611
PC1,rrs_tot,-0.28462807118598427,0.14210283826161235,-0.4412620556150393,0.010153400072597664,-0.15663398442905502,0.15663398442905502
PC1,age,-0.12350528764427376,0.5312249126766473,0.028112474989191557,0.8765868523918839,0.15161776263346533,0.15161776263346533
time,a_rsq,0.20919792684585742,0.276102027036926,0.05799766003677085,0.7485175902260541,-0.15120026680908658,0.15120026680908658
onoff,mwq,-0.2565139985398173,0.1792040071575319,-0.40517337794160063,0.0193293210259437,-0.1486593794017833,0.1486593794017833
PC3,mwq,0.12902496956307086,0.5128848449946373,-0.019301962909396883,0.9150938705004472,-0.14832693247246775,0.14832693247246775
onoff,self-esteem,-0.08989822166553808,0.6428177427472507,0.0581620420788856,0.7478278346763052,0.1480602637444237,0.1480602637444237
PC3,age,-0.008349842467580589,0.9663636369117579,0.1348729454838595,0.4542545106805226,0.14322278795144008,0.14322278795144008
confidence,fne,0.0070016208446780194,0.9712451238389488,-0.1354771451806716,0.4522166722657368,-0.14247876602534962,0.14247876602534962
onoff,ctq_tot,-0.037144451768747075,0.8600783862313829,-0.1780959029987138,0.3553260683487458,-0.14095145122996672,0.14095145122996672
selfother,self-esteem,-0.3726748762644304,0.046478852154029845,-0.23903590704096914,0.18033409704720751,0.13363896922346127,0.13363896922346127
onoff,bdi,-0.08416221128354819,0.6642429205646576,-0.21115271906342956,0.23817260272396362,-0.12699050777988136,0.12699050777988136
onoff,fne,0.21298491713284906,0.2673028636802421,0.10868314860600232,0.5471398553514091,-0.10430176852684674,0.10430176852684674
selfother,mwq,0.09760098448212425,0.6144840576598901,-0.0038603925818793765,0.9829894117877958,-0.10146137706400363,0.10146137706400363
selfother,fne,0.043058133181804785,0.8244865580365555,-0.053085605713563536,0.7692149218355611,-0.09614373889536831,0.09614373889536831
valence,bdi,-0.19022907120976995,0.32294809366700206,-0.2838943256307354,0.10935333737201082,-0.09366525442096546,0.09366525442096546
PC2,sris,-0.07203489090623094,0.7156578102076853,0.01974401286940684,0.9131566022950249,0.09177890377563779,0.09177890377563779
onoff,age,0.28831933266265114,0.1293248789017021,0.3790164038721362,0.02961367089108163,0.09069707120948506,0.09069707120948506
PC2,fne,-0.2180751056924592,0.2649285025549472,-0.305953948387005,0.08334461908252501,-0.08787884269454582,0.08787884269454582
time,sris,-0.36685832653168315,0.05028217991492283,-0.2947625850816758,0.09586838260346654,0.07209574145000736,0.07209574145000736
onoff,sris,0.038735628279271746,0.8418742365551464,0.1100979700683873,0.541903723335806,0.07136234178911555,0.07136234178911555
selfother,bdi,0.1920874124582529,0.31815473768692315,0.12241469438525779,0.4973512162475875,-0.0696727180729951,0.0696727180729951
valence,fne,-0.4434511857333372,0.01597558578208654,-0.377292964267062,0.03042413989647543,0.0661582214662752,0.0661582214662752
PC1,sris,0.2774963672741848,0.15280828486216708,0.3433450373561257,0.05043617185031517,0.0658486700819409,0.0658486700819409
valence,age,0.18614803973880392,0.33362946530845317,0.2518409217781744,0.15740896432536683,0.06569288203937049,0.06569288203937049
PC1,fne,-0.39991740601313525,0.034980572996010637,-0.45700510407670314,0.007502465011762998,-0.05708769806356789,0.05708769806356789
PC2,ctq_tot,0.17845609989437936,0.4041064287070131,0.2340900442462318,0.221619699221933,0.055633944351852455,0.055633944351852455
valence,self-esteem,0.394051918997345,0.034419162190232014,0.44680551400484947,0.009141619172399373,0.052753595007504483,0.052753595007504483
confidence,ctq_tot,-0.18333202119790612,0.38037841892350965,-0.2350767251492718,0.2196221043562693,-0.051744703951365684,0.051744703951365684
PC2,a_rsq,-0.17663161544359657,0.3685820790644698,-0.220773795372631,0.21696049971179,-0.044142179929034436,0.044142179929034436
selfother,age,-0.02240511684712917,0.908158054953925,0.01991300311734402,0.9124161375500184,0.04231811996447319,0.04231811996447319
PC3,fne,-0.06609037145769311,0.738274975234297,-0.1068410613414938,0.5539927185356341,-0.04075068988380069,0.04075068988380069
PC2,mwq,-0.24222446511429616,0.21427730043834323,-0.2077898267985508,0.2459043060438423,0.034434638315745364,0.034434638315745364
onoff,a_rsq,-0.2665151689541451,0.16225620603289193,-0.30066014979209926,0.0891015761456677,-0.03414498083795414,0.03414498083795414
valence,sris,0.025944712669576427,0.8937244071899659,0.0,1.0,-0.025944712669576427,0.025944712669576427
PC1,self-esteem,0.2039347226786237,0.2979166364825583,0.22407515055246965,0.2099894077881175,0.020140427873845956,0.020140427873845956
selfother,ctq_tot,0.13747107050464105,0.5122825674498188,0.1181550381390359,0.5415701378633948,-0.019316032365605154,0.019316032365605154
selfother,sris,0.321767960285579,0.08872553178452361,0.3040243337602731,0.08540891336537478,-0.017743626525305922,0.017743626525305922
PC2,self-esteem,0.21000074783184638,0.28346243792730386,0.19314504725040332,0.28151021644707064,-0.01685570058144306,0.01685570058144306
selfother,a_rsq,-0.0916574774866395,0.6363013321578975,-0.10579092541322893,0.5579171822162872,-0.014133447926589437,0.014133447926589437
PC2,rrs_tot,-0.12655162089443872,0.5210643948592746,-0.13775822624973882,0.44456752377398445,-0.011206605355300103,0.011206605355300103
PC2,bdi,-0.16408788586058692,0.40407687884284693,-0.1530604638187061,0.39510853315210126,0.011027422041880813,0.011027422041880813
time,ctq_tot,-0.46090039265412225,0.020406963941405575,-0.4707047628868543,0.009964845140068639,-0.009804370232732063,0.009804370232732063
PC3,ctq_tot,-0.04355333465536834,0.8398604163180897,-0.053280768764158146,0.7837007695125997,-0.009727434108789804,0.009727434108789804
PC1,bdi,-0.22227468935336728,0.2556068989891654,-0.21334170259439011,0.23322848355748824,0.008932986758977163,0.008932986758977163
confidence,sris,0.2492108431975204,0.19233889656600361,0.25600287873044464,0.1504311502804738,0.006792035532924234,0.006792035532924234
valence,a_rsq,-0.1750319671813045,0.36379732508318086,-0.16896465338510971,0.34722548339923887,0.006067313796194795,0.006067313796194795
PC1,mwq,-0.3688536365706087,0.05341701044490071,-0.3653945500326697,0.036526640227017376,0.0034590865379390268,0.0034590865379390268
PC2,age,0.26977990462852147,0.1650285604067766,0.26924388248576914,0.12972472638124438,-0.0005360221427523348,0.0005360221427523348
