subject_id,group,pc,condition,baseline_score,experimental_score,change_score
3,Controls,PC1,inclusion,-0.19811793664188665,-0.2598399305210016,-0.06172199387911498
3,Controls,PC1,exclusion,-0.19811793664188665,0.017762780370837002,0.21588071701272366
3,Controls,PC2,inclusion,-0.0996049228702721,-0.2134428709663588,-0.1138379480960867
3,Controls,PC2,exclusion,-0.0996049228702721,0.20729428588405377,0.30689920875432586
3,Controls,PC3,inclusion,-0.3726556518038957,-0.05356207912318923,0.3190935726807065
3,Controls,PC3,exclusion,-0.3726556518038957,-0.38601902633917023,-0.01336337453527453
5,Controls,PC1,inclusion,0.15812619651439153,0.8327946236190267,0.6746684271046351
5,Controls,PC1,exclusion,0.15812619651439153,1.5399674332224704,1.381841236708079
5,Controls,PC2,inclusion,0.8535526174941109,1.3035228320542838,0.44997021456017283
5,Controls,PC2,exclusion,0.8535526174941109,0.6481890045831487,-0.20536361291096228
5,Controls,PC3,inclusion,-0.09009738619691042,-0.19787338171947863,-0.10777599552256821
5,Controls,PC3,exclusion,-0.09009738619691042,-0.38517489156049595,-0.2950775053635855
6,Controls,PC1,inclusion,0.07457556287580938,0.1254131472440157,0.05083758436820632
6,Controls,PC1,exclusion,0.07457556287580938,0.07815676679777307,0.003581203921963691
6,Controls,PC2,inclusion,0.337581300059503,-0.16619448260425562,-0.5037757826637586
6,Controls,PC2,exclusion,0.337581300059503,-0.8681817644811114,-1.2057630645406143
6,Controls,PC3,inclusion,0.25079587358895594,-0.04941515393023343,-0.3002110275191894
6,Controls,PC3,exclusion,0.25079587358895594,0.004529740760973191,-0.24626613282798276
8,Controls,PC1,inclusion,0.177664570277379,0.20740961272195052,0.029745042444571518
8,Controls,PC1,exclusion,0.177664570277379,0.42584954341855114,0.24818497314117213
8,Controls,PC2,inclusion,0.42777156859122195,-0.617423906211416,-1.045195474802638
8,Controls,PC2,exclusion,0.42777156859122195,0.063798572413688,-0.363972996177534
8,Controls,PC3,inclusion,0.9201533501742625,1.2843222599550923,0.36416890978082983
8,Controls,PC3,exclusion,0.9201533501742625,0.45768036778170745,-0.462472982392555
10,Controls,PC1,inclusion,-0.6428291301448021,-0.7683355737328045,-0.12550644358800234
10,Controls,PC1,exclusion,-0.6428291301448021,-0.8802397482667164,-0.23741061812191422
10,Controls,PC2,inclusion,0.019249738853660384,-0.14957743631682255,-0.16882717517048293
10,Controls,PC2,exclusion,0.019249738853660384,-0.203528124764596,-0.22277786361825638
10,Controls,PC3,inclusion,0.2190442503435897,0.021236771134387083,-0.19780747920920264
10,Controls,PC3,exclusion,0.2190442503435897,0.2700557962156179,0.05101154587202822
12,Controls,PC1,inclusion,-1.3427520824980084,-3.6320112941336924,-2.289259211635684
12,Controls,PC1,exclusion,-1.3427520824980084,-0.2954486779218582,1.0473034045761502
12,Controls,PC2,inclusion,0.578184135677153,-0.6895841986905766,-1.2677683343677297
12,Controls,PC2,exclusion,0.578184135677153,0.412446664356854,-0.16573747132029898
12,Controls,PC3,inclusion,-0.08752023025623847,0.2124654462816017,0.29998567653784014
12,Controls,PC3,exclusion,-0.08752023025623847,-0.09552636466307755,-0.008006134406839088
18,Controls,PC1,inclusion,2.142574418779995,1.6485399402011527,-0.4940344785788422
18,Controls,PC1,exclusion,2.142574418779995,1.9545056647393375,-0.18806875404065737
18,Controls,PC2,inclusion,0.08180304642603453,0.3392251516736463,0.2574221052476118
18,Controls,PC2,exclusion,0.08180304642603453,0.4459974126406227,0.36419436621458817
18,Controls,PC3,inclusion,0.5705997899843123,0.8636755013405976,0.2930757113562853
18,Controls,PC3,exclusion,0.5705997899843123,0.5767350812755342,0.006135291291221923
19,Controls,PC1,inclusion,-0.29583943789314093,-0.03785881983363679,0.2579806180595041
19,Controls,PC1,exclusion,-0.29583943789314093,0.012225400267191499,0.3080648381603324
19,Controls,PC2,inclusion,-0.27738289357011015,-0.39257456887103864,-0.1151916753009285
19,Controls,PC2,exclusion,-0.27738289357011015,-0.013492414507247585,0.26389047906286256
19,Controls,PC3,inclusion,-0.1319657388150404,-0.3930541042773216,-0.2610883654622812
19,Controls,PC3,exclusion,-0.1319657388150404,-0.050158630433005114,0.08180710838203528
25,Controls,PC1,inclusion,-0.713520607754842,-0.9335866656211192,-0.2200660578662772
25,Controls,PC1,exclusion,-0.713520607754842,-0.11232338029522694,0.6011972274596151
25,Controls,PC2,inclusion,0.2177586764022348,0.5379218769996444,0.32016320059740966
25,Controls,PC2,exclusion,0.2177586764022348,0.35515306433999166,0.13739438793775685
25,Controls,PC3,inclusion,0.5366713242752588,0.036441458444417874,-0.5002298658308408
25,Controls,PC3,exclusion,0.5366713242752588,0.183001947494583,-0.3536693767806758
27,Controls,PC1,inclusion,1.7090794793618167,1.390425846760498,-0.31865363260131874
27,Controls,PC1,exclusion,1.7090794793618167,0.8048786283813931,-0.9042008509804236
27,Controls,PC2,inclusion,-0.43712360317299026,-1.8154549949512098,-1.3783313917782194
27,Controls,PC2,exclusion,-0.43712360317299026,-0.6502554434820964,-0.21313184030910615
27,Controls,PC3,inclusion,1.1652712345435596,1.541194393979134,0.3759231594355743
27,Controls,PC3,exclusion,1.1652712345435596,0.6617111356744916,-0.503560098869068
28,Controls,PC1,inclusion,-0.31197645428179654,0.9262483020862228,1.2382247563680193
28,Controls,PC1,exclusion,-0.31197645428179654,-0.47373679518421236,-0.1617603409024158
28,Controls,PC2,inclusion,0.43675347809697707,1.1021787977359743,0.6654253196389972
28,Controls,PC2,exclusion,0.43675347809697707,-0.13659107849121882,-0.5733445565881958
28,Controls,PC3,inclusion,-0.2149399045841079,-0.12973333028160902,0.08520657430249887
28,Controls,PC3,exclusion,-0.2149399045841079,-0.0037116569710446967,0.2112282476130632
29,Risk of Depression,PC1,inclusion,0.04897865378921582,0.2072695899310983,0.1582909361418825
29,Risk of Depression,PC1,exclusion,0.04897865378921582,-0.3127458178559816,-0.36172447164519744
29,Risk of Depression,PC2,inclusion,-0.23600218112541899,-0.5616706590107748,-0.32566847788535586
29,Risk of Depression,PC2,exclusion,-0.23600218112541899,-0.8197290079952573,-0.5837268268698383
29,Risk of Depression,PC3,inclusion,-0.45608283169292996,-0.1521060369476401,0.3039767947452898
29,Risk of Depression,PC3,exclusion,-0.45608283169292996,-0.31483583585942115,0.1412469958335088
30,Risk of Depression,PC1,inclusion,-0.6794960873730702,-0.749912188011602,-0.07041610063853176
30,Risk of Depression,PC1,exclusion,-0.6794960873730702,-1.2312634132601574,-0.5517673258870872
30,Risk of Depression,PC2,inclusion,0.49692427804583744,0.003570562762564719,-0.4933537152832727
30,Risk of Depression,PC2,exclusion,0.49692427804583744,-0.11199030729388544,-0.6089145853397229
