subject,task,probe_number,n_trials,n_out_zone,n_in_zone,prop_out_zone,prop_in_zone,onoff,group,sart_number,time_on_task
10,Sart1,1.0,40,16,24,0.4,0.6,48.0,Controls,1,1.0
10,Sart1,2.0,30,10,20,0.3333333333333333,0.6666666666666666,74.0,Controls,1,2.0
10,Sart1,3.0,20,13,7,0.65,0.35,62.0,Controls,1,3.0
10,Sart1,4.0,40,31,9,0.775,0.225,33.0,Controls,1,4.0
10,Sart1,5.0,30,20,10,0.6666666666666666,0.3333333333333333,62.0,Controls,1,5.0
10,Sart1,6.0,20,13,7,0.65,0.35,68.0,Controls,1,6.0
10,Sart1,7.0,30,12,18,0.4,0.6,79.0,Controls,1,7.0
10,Sart1,8.0,40,22,18,0.55,0.45,61.0,Controls,1,8.0
10,Sart1,9.0,20,9,11,0.45,0.55,51.0,Controls,1,9.0
10,Sart1,10.0,40,27,13,0.675,0.325,38.0,Controls,1,10.0
10,Sart1,11.0,20,4,16,0.2,0.8,66.0,Controls,1,11.0
10,Sart1,12.0,30,19,11,0.6333333333333333,0.36666666666666664,41.0,Controls,1,12.0
10,Sart1,13.0,30,15,15,0.5,0.5,42.0,Controls,1,13.0
10,Sart1,14.0,20,11,9,0.55,0.45,28.0,Controls,1,14.0
10,Sart1,15.0,40,17,23,0.425,0.575,66.0,Controls,1,15.0
10,Sart2,1.0,20,5,15,0.25,0.75,60.0,Controls,2,16.0
10,Sart2,2.0,40,20,20,0.5,0.5,55.0,Controls,2,17.0
10,Sart2,3.0,20,14,6,0.7,0.3,39.0,Controls,2,18.0
10,Sart2,4.0,20,4,16,0.2,0.8,64.0,Controls,2,19.0
10,Sart2,5.0,30,18,12,0.6,0.4,63.0,Controls,2,20.0
10,Sart2,6.0,20,11,9,0.55,0.45,72.0,Controls,2,21.0
10,Sart2,7.0,30,9,21,0.3,0.7,59.0,Controls,2,22.0
10,Sart2,8.0,20,10,10,0.5,0.5,64.0,Controls,2,23.0
10,Sart2,9.0,40,13,27,0.325,0.675,57.0,Controls,2,24.0
10,Sart2,10.0,40,21,19,0.525,0.475,30.0,Controls,2,25.0
10,Sart2,11.0,40,22,18,0.55,0.45,68.0,Controls,2,26.0
10,Sart2,12.0,30,22,8,0.7333333333333333,0.26666666666666666,65.0,Controls,2,27.0
10,Sart2,13.0,40,25,15,0.625,0.375,64.0,Controls,2,28.0
10,Sart2,14.0,30,19,11,0.6333333333333333,0.36666666666666664,40.0,Controls,2,29.0
10,Sart2,15.0,30,13,17,0.43333333333333335,0.5666666666666667,40.0,Controls,2,30.0
10,Sart3,1.0,20,8,12,0.4,0.6,30.0,Controls,3,31.0
10,Sart3,2.0,30,19,11,0.6333333333333333,0.36666666666666664,34.0,Controls,3,32.0
10,Sart3,3.0,40,21,19,0.525,0.475,58.0,Controls,3,33.0
10,Sart3,4.0,40,21,19,0.525,0.475,33.0,Controls,3,34.0
10,Sart3,5.0,40,16,24,0.4,0.6,61.0,Controls,3,35.0
10,Sart3,6.0,30,20,10,0.6666666666666666,0.3333333333333333,46.0,Controls,3,36.0
10,Sart3,7.0,40,20,20,0.5,0.5,61.0,Controls,3,37.0
10,Sart3,8.0,20,6,14,0.3,0.7,67.0,Controls,3,38.0
10,Sart3,9.0,40,28,12,0.7,0.3,40.0,Controls,3,39.0
10,Sart3,10.0,30,8,22,0.26666666666666666,0.7333333333333333,35.0,Controls,3,40.0
10,Sart3,11.0,30,17,13,0.5666666666666667,0.43333333333333335,62.0,Controls,3,41.0
10,Sart3,12.0,20,8,12,0.4,0.6,65.0,Controls,3,42.0
10,Sart3,13.0,20,9,11,0.45,0.55,63.0,Controls,3,43.0
10,Sart3,14.0,30,9,21,0.3,0.7,38.0,Controls,3,44.0
10,Sart3,15.0,20,5,15,0.25,0.75,44.0,Controls,3,45.0
10,Sart4,1.0,30,2,28,0.06666666666666667,0.9333333333333333,68.0,Controls,4,46.0
10,Sart4,2.0,40,25,15,0.625,0.375,69.0,Controls,4,47.0
10,Sart4,3.0,20,4,16,0.2,0.8,74.0,Controls,4,48.0
10,Sart4,4.0,40,20,20,0.5,0.5,63.0,Controls,4,49.0
10,Sart4,5.0,20,12,8,0.6,0.4,36.0,Controls,4,50.0
10,Sart4,6.0,40,16,24,0.4,0.6,40.0,Controls,4,51.0
10,Sart4,7.0,40,19,21,0.475,0.525,37.0,Controls,4,52.0
10,Sart4,8.0,30,23,7,0.7666666666666667,0.23333333333333334,29.0,Controls,4,53.0
10,Sart4,9.0,30,14,16,0.4666666666666667,0.5333333333333333,49.0,Controls,4,54.0
10,Sart4,10.0,30,11,19,0.36666666666666664,0.6333333333333333,36.0,Controls,4,55.0
10,Sart4,11.0,20,9,11,0.45,0.55,65.0,Controls,4,56.0
10,Sart4,12.0,20,13,7,0.65,0.35,38.0,Controls,4,57.0
10,Sart4,13.0,40,20,20,0.5,0.5,54.0,Controls,4,58.0
10,Sart4,14.0,30,19,11,0.6333333333333333,0.36666666666666664,56.0,Controls,4,59.0
10,Sart4,15.0,20,13,7,0.65,0.35,65.0,Controls,4,60.0
11,Sart1,1.0,40,29,11,0.725,0.275,100.0,Controls,1,1.0
11,Sart1,2.0,20,7,13,0.35,0.65,99.0,Controls,1,2.0
11,Sart1,3.0,20,8,12,0.4,0.6,100.0,Controls,1,3.0
11,Sart1,4.0,40,21,19,0.525,0.475,100.0,Controls,1,4.0
11,Sart1,5.0,40,14,26,0.35,0.65,100.0,Controls,1,5.0
11,Sart1,6.0,40,15,25,0.375,0.625,99.0,Controls,1,6.0
