predictor,marker,n_observations,n_subjects,n_channels,n_converged,n_warnings,n_failed,convergence_rate,warning_rate,conditional_r2_mean,residual_skew_mean,residual_abs_skew_max,pct_high_skew,residual_exkurt_mean,residual_exkurt_max,pct_high_kurtosis,pct_residual_outliers_mean,pct_residual_outliers_max,pct_heteroscedasticity,skew_flag_threshold,exkurt_flag_threshold,outlier_sd_threshold,formula
onoff,evoked/N1,2031,35,64,64,0,0,1.0,0.0,0.1430348810375533,0.05043943110685882,0.44036036022971126,0.0,0.8722010850211319,3.2120831419612283,1.5625,0.10847488921713441,0.39389463318562284,43.75,1.0,3.0,4.0,power ~ onoff + valence + valence_sq + selfother + time + time_sq + time_on_task + confidence + (1|subject)
onoff,evoked/P1,2031,35,64,51,13,0,0.796875,0.203125,0.05638381334861493,0.1272651481303296,0.5286178756955686,0.0,0.9705354288195389,3.4754027107850662,3.125,0.10693623830625307,0.4431314623338257,7.8125,1.0,3.0,4.0,power ~ onoff + valence + valence_sq + selfother + time + time_sq + time_on_task + confidence + (1|subject)
onoff,evoked/P3a,2031,35,64,64,0,0,1.0,0.0,0.12416390120601353,0.06811238517536135,0.593299635517888,0.0,1.0051654107562609,4.40773328351964,1.5625,0.13078532742491383,0.39389463318562284,23.4375,1.0,3.0,4.0,power ~ onoff + valence + valence_sq + selfother + time + time_sq + time_on_task + confidence + (1|subject)
onoff,evoked/P3b,2031,35,64,64,0,0,1.0,0.0,0.10325792427922069,0.07447602641070149,0.5539062704966492,0.0,1.1630872705546063,5.247547544343266,1.5625,0.16309699655342197,0.4431314623338257,39.0625,1.0,3.0,4.0,power ~ onoff + valence + valence_sq + selfother + time + time_sq + time_on_task + confidence + (1|subject)
onoff,sleep/PE_alpha,2046,35,64,64,0,0,1.0,0.0,0.3938480128862235,-0.28010338263091406,0.8638261501487704,0.0,1.9464813584430112,7.634319770502502,14.0625,0.13822702834799608,0.3421309872922776,50.0,1.0,3.0,4.0,power ~ onoff + valence + valence_sq + selfother + time + time_sq + time_on_task + confidence + (1|subject)
onoff,sleep/PE_beta,2046,35,64,64,0,0,1.0,0.0,0.35891842225003256,-0.05774356824827076,0.7153294840862909,0.0,1.60460164093137,6.664966147796793,12.5,0.13211754643206255,0.4398826979472141,42.1875,1.0,3.0,4.0,power ~ onoff + valence + valence_sq + selfother + time + time_sq + time_on_task + confidence + (1|subject)
onoff,sleep/PE_gamma,2046,35,64,64,0,0,1.0,0.0,0.357023391926358,0.0567869720743803,0.9524896626717123,0.0,1.3597666838846454,5.799804883790115,9.375,0.14128176930596287,0.4398826979472141,48.4375,1.0,3.0,4.0,power ~ onoff + valence + valence_sq + selfother + time + time_sq + time_on_task + confidence + (1|subject)
onoff,sleep/PE_theta,2046,35,64,64,0,0,1.0,0.0,0.2916326742326555,-0.7134619006291814,1.7535159034586298,15.625,2.6719841558903217,10.331157890118252,29.6875,0.2588892961876833,0.635386119257087,81.25,1.0,3.0,4.0,power ~ onoff + valence + valence_sq + selfother + time + time_sq + time_on_task + confidence + (1|subject)
onoff,sleep/kolmogorov_complexity,2046,35,64,64,0,0,1.0,0.0,0.20536390058653675,-1.0531192162326994,1.7005647178056116,56.25,2.8140370828462453,5.715608399283335,40.625,0.4139173998044966,0.8797653958944281,85.9375,1.0,3.0,4.0,power ~ onoff + valence + valence_sq + selfother + time + time_sq + time_on_task + confidence + (1|subject)
onoff,sleep/psd_relative_alpha,2046,35,64,64,0,0,1.0,0.0,0.38353665944899373,0.40920873876249747,1.340099923411374,6.25,2.0234604612902105,8.763344057256258,15.625,0.21154081133919844,0.5865102639296188,89.0625,1.0,3.0,4.0,power ~ onoff + valence + valence_sq + selfother + time + time_sq + time_on_task + confidence + (1|subject)
onoff,sleep/psd_relative_beta,2046,35,64,64,0,0,1.0,0.0,0.4076770814252185,0.004369529626984354,1.4690879227245865,1.5625,2.121665954384197,19.92237662573974,21.875,0.18557551319648094,0.5376344086021505,71.875,1.0,3.0,4.0,power ~ onoff + valence + valence_sq + selfother + time + time_sq + time_on_task + confidence + (1|subject)
onoff,sleep/psd_relative_delta,2046,35,64,64,0,0,1.0,0.0,0.3070664197161077,1.1039996972831543,2.2574329009525993,53.125,5.0439161141245155,16.02228769960977,73.4375,0.44141006842619745,0.7331378299120235,76.5625,1.0,3.0,4.0,power ~ onoff + valence + valence_sq + selfother + time + time_sq + time_on_task + confidence + (1|subject)
onoff,sleep/psd_relative_gamma,2046,35,64,64,0,0,1.0,0.0,0.2641520317502524,2.938543826949999,5.428042913962599,100.0,20.517600291252325,56.4300024947838,100.0,0.8767106549364614,1.466275659824047,100.0,1.0,3.0,4.0,power ~ onoff + valence + valence_sq + selfother + time + time_sq + time_on_task + confidence + (1|subject)
onoff,sleep/psd_relative_theta,2046,35,64,64,0,0,1.0,0.0,0.3186176807137673,0.3558166844689087,0.9331733507664844,0.0,1.9445641453767135,6.706737185874321,15.625,0.20237658846529816,0.4398826979472141,68.75,1.0,3.0,4.0,power ~ onoff + valence + valence_sq + selfother + time + time_sq + time_on_task + confidence + (1|subject)
onoff,sleep/slowwaves_Density,2046,35,64,62,2,0,0.96875,0.03125,0.10863699375162769,1.8986775109735947,5.020079153366241,100.0,7.286687405413943,44.99326552232717,82.8125,0.5506170576735092,1.3685239491691104,100.0,1.0,3.0,4.0,power ~ onoff + valence + valence_sq + selfother + time + time_sq + time_on_task + confidence + (1|subject)
onoff,sleep/slowwaves_Duration,2046,35,64,62,2,0,0.96875,0.03125,0.08946637151421762,0.6653837002146857,0.9539108586084822,0.0,1.022973151265183,3.0884732711262366,1.5625,0.13153268152494085,0.34843205574912894,48.4375,1.0,3.0,4.0,power ~ onoff + valence + valence_sq + selfother + time + time_sq + time_on_task + confidence + (1|subject)
onoff,sleep/slowwaves_Frequency,2046,35,64,62,2,0,0.96875,0.03125,0.09473967632086085,0.6924432379744959,0.9416808142807205,0.0,1.224069920700718,2.689468738154674,0.0,0.18313397310127175,0.45627376425855515,81.25,1.0,3.0,4.0,power ~ onoff + valence + valence_sq + selfother + time + time_sq + time_on_task + confidence + (1|subject)
onoff,sleep/slowwaves_PTP,2046,35,64,64,0,0,1.0,0.0,0.33667578741985466,2.378888360630462,4.623284365062443,100.0,12.00417716704336,44.210543590569976,100.0,0.7869959163177467,1.231190150478796,90.625,1.0,3.0,4.0,power ~ onoff + valence + valence_sq + selfother + time + time_sq + time_on_task + confidence + (1|subject)
onoff,sleep/slowwaves_Slope,2046,35,64,64,0,0,1.0,0.0,0.14696912964493639,0.6428750542745129,1.2539690991041101,9.375,1.2875127266873765,5.69446255873291,9.375,0.18778167164709567,0.5657708628005658,51.5625,1.0,3.0,4.0,power ~ onoff + valence + valence_sq + selfother + time + time_sq + time_on_task + confidence + (1|subject)
onoff,sleep/wsmi_alpha,2046,35,64,64,0,0,1.0,0.0,0.11005771141867496,-0.18766699541009862,0.47512355264118394,0.0,0.8863091805518932,2.5444275704003996,0.0,0.10920698924731183,0.24437927663734116,20.3125,1.0,3.0,4.0,power ~ onoff + valence + valence_sq + selfother + time + time_sq + time_on_task + confidence + (1|subject)
onoff,sleep/wsmi_beta,2046,35,64,64,0,0,1.0,0.0,0.08091754255133561,-0.5083600402919519,0.7596606737175104,0.0,1.3737732788622,3.124111051642428,1.5625,0.19473973607038125,0.39100684261974583,68.75,1.0,3.0,4.0,power ~ onoff + valence + valence_sq + selfother + time + time_sq + time_on_task + confidence + (1|subject)
