marker_name,marker_type,n_clusters,min_cluster_p_uncorrected,min_cluster_p_corrected,n_sig_uncorrected,n_sig_corrected,marker_p_uncorrected,marker_p_corrected,marker_rejected,correction_method,correction_unit,correction_family_size,correction_alpha
evoked/N1,evoked,1,0.0643871225754849,0.20262614143837898,0,0,0.0643871225754849,0.20262614143837898,False,fdr_bh,marker,4,0.05
evoked/P1,evoked,0,,,0,0,1.0,1.0,False,fdr_bh,marker,4,0.05
evoked/P3a,evoked,1,0.11017796440711858,0.20262614143837898,0,0,0.11017796440711858,0.20262614143837898,False,fdr_bh,marker,4,0.05
evoked/P3b,evoked,1,0.15196960607878424,0.20262614143837898,0,0,0.15196960607878424,0.20262614143837898,False,fdr_bh,marker,4,0.05
sleep/PE_alpha,sleep,3,0.0033993201359728054,0.012483217642185851,2,2,0.0033993201359728054,0.012483217642185851,True,fdr_bh,marker,19,0.05
sleep/PE_beta,sleep,2,0.004599080183963208,0.012483217642185851,2,2,0.004599080183963208,0.012483217642185851,True,fdr_bh,marker,19,0.05
sleep/PE_gamma,sleep,3,0.004399120175964807,0.012483217642185851,2,2,0.004399120175964807,0.012483217642185851,True,fdr_bh,marker,19,0.05
sleep/PE_theta,sleep,2,0.016796640671865627,0.039892021595680865,1,1,0.016796640671865627,0.039892021595680865,True,fdr_bh,marker,19,0.05
sleep/kolmogorov_complexity,sleep,2,0.08598280343931214,0.14722055588882224,0,0,0.08598280343931214,0.14722055588882224,False,fdr_bh,marker,19,0.05
sleep/psd_relative_alpha,sleep,3,0.02539492101579684,0.05361149992223778,2,0,0.02539492101579684,0.05361149992223778,False,fdr_bh,marker,19,0.05
sleep/psd_relative_beta,sleep,3,0.05858828234353129,0.11131773645270947,0,0,0.05858828234353129,0.11131773645270947,False,fdr_bh,marker,19,0.05
sleep/psd_relative_delta,sleep,2,0.001799640071985603,0.01139772045590882,2,2,0.001799640071985603,0.01139772045590882,True,fdr_bh,marker,19,0.05
sleep/psd_relative_gamma,sleep,3,0.001799640071985603,0.01139772045590882,2,2,0.001799640071985603,0.01139772045590882,True,fdr_bh,marker,19,0.05
sleep/psd_relative_theta,sleep,2,0.09298140371925614,0.14722055588882224,0,0,0.09298140371925614,0.14722055588882224,False,fdr_bh,marker,19,0.05
sleep/slowwaves_Density,sleep,3,0.0001999600079984003,0.0037992401519696063,1,1,0.0001999600079984003,0.0037992401519696063,True,fdr_bh,marker,19,0.05
sleep/slowwaves_Duration,sleep,0,,,0,0,1.0,1.0,False,fdr_bh,marker,19,0.05
sleep/slowwaves_Frequency,sleep,1,0.2529494101179764,0.3039392121575685,0,0,0.2529494101179764,0.3039392121575685,False,fdr_bh,marker,19,0.05
sleep/slowwaves_PTP,sleep,0,,,0,0,1.0,1.0,False,fdr_bh,marker,19,0.05
sleep/slowwaves_Slope,sleep,0,,,0,0,1.0,1.0,False,fdr_bh,marker,19,0.05
sleep/wsmi_alpha,sleep,1,0.14557088582283542,0.21275744851029793,0,0,0.14557088582283542,0.21275744851029793,False,fdr_bh,marker,19,0.05
sleep/wsmi_beta,sleep,1,0.2559488102379524,0.3039392121575685,0,0,0.2559488102379524,0.3039392121575685,False,fdr_bh,marker,19,0.05
sleep/wsmi_gamma,sleep,2,0.20055988802239552,0.2721884194589654,0,0,0.20055988802239552,0.2721884194589654,False,fdr_bh,marker,19,0.05
sleep/wsmi_theta,sleep,3,0.004399120175964807,0.012483217642185851,1,1,0.004399120175964807,0.012483217642185851,True,fdr_bh,marker,19,0.05
