perm_idx,n_converged,n_warnings,n_failed,n_insufficient_data,convergence_rate,n_nan_t,is_degenerate
0,63,1,0,0,0.984375,0,False
1,63,1,0,0,0.984375,0,False
2,62,2,0,0,0.96875,0,False
3,62,2,0,0,0.96875,0,False
4,62,2,0,0,0.96875,0,False
5,62,2,0,0,0.96875,0,False
6,63,1,0,0,0.984375,0,False
7,63,1,0,0,0.984375,0,False
8,63,1,0,0,0.984375,0,False
9,62,2,0,0,0.96875,0,False
10,63,1,0,0,0.984375,0,False
11,62,2,0,0,0.96875,0,False
12,62,2,0,0,0.96875,0,False
13,63,1,0,0,0.984375,0,False
14,62,2,0,0,0.96875,0,False
15,63,1,0,0,0.984375,0,False
16,62,2,0,0,0.96875,0,False
17,62,2,0,0,0.96875,0,False
18,63,1,0,0,0.984375,0,False
19,63,1,0,0,0.984375,0,False
20,62,2,0,0,0.96875,0,False
21,62,2,0,0,0.96875,0,False
22,62,2,0,0,0.96875,0,False
23,63,1,0,0,0.984375,0,False
24,63,1,0,0,0.984375,0,False
25,63,1,0,0,0.984375,0,False
26,62,2,0,0,0.96875,0,False
27,62,2,0,0,0.96875,0,False
28,63,1,0,0,0.984375,0,False
29,62,2,0,0,0.96875,0,False
30,62,2,0,0,0.96875,0,False
31,62,2,0,0,0.96875,0,False
32,62,2,0,0,0.96875,0,False
33,63,1,0,0,0.984375,0,False
34,62,2,0,0,0.96875,0,False
35,62,2,0,0,0.96875,0,False
36,63,1,0,0,0.984375,0,False
37,62,2,0,0,0.96875,0,False
38,63,1,0,0,0.984375,0,False
39,62,2,0,0,0.96875,0,False
40,63,1,0,0,0.984375,0,False
41,63,1,0,0,0.984375,0,False
42,62,2,0,0,0.96875,0,False
43,63,1,0,0,0.984375,0,False
44,62,2,0,0,0.96875,0,False
45,63,1,0,0,0.984375,0,False
46,62,2,0,0,0.96875,0,False
47,62,2,0,0,0.96875,0,False
48,63,1,0,0,0.984375,0,False
49,62,2,0,0,0.96875,0,False
50,62,2,0,0,0.96875,0,False
51,62,2,0,0,0.96875,0,False
52,62,2,0,0,0.96875,0,False
53,62,2,0,0,0.96875,0,False
54,62,2,0,0,0.96875,0,False
55,63,1,0,0,0.984375,0,False
56,63,1,0,0,0.984375,0,False
57,63,1,0,0,0.984375,0,False
58,63,1,0,0,0.984375,0,False
59,63,1,0,0,0.984375,0,False
60,62,2,0,0,0.96875,0,False
61,62,2,0,0,0.96875,0,False
62,62,2,0,0,0.96875,0,False
63,62,2,0,0,0.96875,0,False
64,62,2,0,0,0.96875,0,False
65,62,2,0,0,0.96875,0,False
66,63,1,0,0,0.984375,0,False
67,62,2,0,0,0.96875,0,False
68,62,2,0,0,0.96875,0,False
69,63,1,0,0,0.984375,0,False
70,62,2,0,0,0.96875,0,False
71,63,1,0,0,0.984375,0,False
72,62,2,0,0,0.96875,0,False
73,62,2,0,0,0.96875,0,False
74,63,1,0,0,0.984375,0,False
75,63,1,0,0,0.984375,0,False
76,62,2,0,0,0.96875,0,False
77,63,1,0,0,0.984375,0,False
78,63,1,0,0,0.984375,0,False
79,63,1,0,0,0.984375,0,False
80,63,1,0,0,0.984375,0,False
81,62,2,0,0,0.96875,0,False
82,62,2,0,0,0.96875,0,False
83,62,2,0,0,0.96875,0,False
84,62,2,0,0,0.96875,0,False
85,63,1,0,0,0.984375,0,False
86,63,1,0,0,0.984375,0,False
87,62,2,0,0,0.96875,0,False
88,62,2,0,0,0.96875,0,False
89,62,2,0,0,0.96875,0,False
90,63,1,0,0,0.984375,0,False
91,62,2,0,0,0.96875,0,False
92,63,1,0,0,0.984375,0,False
93,62,2,0,0,0.96875,0,False
94,63,1,0,0,0.984375,0,False
95,62,2,0,0,0.96875,0,False
96,63,1,0,0,0.984375,0,False
97,63,1,0,0,0.984375,0,False
98,62,2,0,0,0.96875,0,False
99,63,1,0,0,0.984375,0,False
100,62,2,0,0,0.96875,0,False
101,62,2,0,0,0.96875,0,False
102,62,2,0,0,0.96875,0,False
103,62,2,0,0,0.96875,0,False
104,63,1,0,0,0.984375,0,False
105,62,2,0,0,0.96875,0,False
106,63,1,0,0,0.984375,0,False
107,62,2,0,0,0.96875,0,False
108,62,2,0,0,0.96875,0,False
109,62,2,0,0,0.96875,0,False
110,62,2,0,0,0.96875,0,False
111,63,1,0,0,0.984375,0,False
112,62,2,0,0,0.96875,0,False
113,63,1,0,0,0.984375,0,False
114,62,2,0,0,0.96875,0,False
115,62,2,0,0,0.96875,0,False
116,62,2,0,0,0.96875,0,False
117,63,1,0,0,0.984375,0,False
118,62,2,0,0,0.96875,0,False
119,62,2,0,0,0.96875,0,False
120,62,2,0,0,0.96875,0,False
121,63,1,0,0,0.984375,0,False
122,63,1,0,0,0.984375,0,False
123,62,2,0,0,0.96875,0,False
124,63,1,0,0,0.984375,0,False
125,62,2,0,0,0.96875,0,False
126,63,1,0,0,0.984375,0,False
127,62,2,0,0,0.96875,0,False
128,62,2,0,0,0.96875,0,False
129,62,2,0,0,0.96875,0,False
130,62,2,0,0,0.96875,0,False
131,63,1,0,0,0.984375,0,False
132,62,2,0,0,0.96875,0,False
133,63,1,0,0,0.984375,0,False
134,62,2,0,0,0.96875,0,False
135,62,2,0,0,0.96875,0,False
136,62,2,0,0,0.96875,0,False
137,62,2,0,0,0.96875,0,False
138,62,2,0,0,0.96875,0,False
139,63,1,0,0,0.984375,0,False
140,63,1,0,0,0.984375,0,False
141,62,2,0,0,0.96875,0,False
142,63,1,0,0,0.984375,0,False
143,62,2,0,0,0.96875,0,False
144,62,2,0,0,0.96875,0,False
145,63,1,0,0,0.984375,0,False
