perm_idx,n_converged,n_warnings,n_failed,n_insufficient_data,convergence_rate,n_nan_t,is_degenerate
0,58,6,0,0,0.90625,0,False
1,59,5,0,0,0.921875,0,False
2,60,4,0,0,0.9375,0,False
3,59,5,0,0,0.921875,0,False
4,60,4,0,0,0.9375,0,False
5,58,6,0,0,0.90625,0,False
6,57,7,0,0,0.890625,0,False
7,57,7,0,0,0.890625,0,False
8,58,6,0,0,0.90625,0,False
9,60,4,0,0,0.9375,0,False
10,58,6,0,0,0.90625,0,False
11,59,5,0,0,0.921875,0,False
12,60,4,0,0,0.9375,0,False
13,61,3,0,0,0.953125,0,False
14,59,5,0,0,0.921875,0,False
15,57,7,0,0,0.890625,0,False
16,59,5,0,0,0.921875,0,False
17,59,5,0,0,0.921875,0,False
18,57,7,0,0,0.890625,0,False
19,60,4,0,0,0.9375,0,False
20,60,4,0,0,0.9375,0,False
21,57,7,0,0,0.890625,0,False
22,58,6,0,0,0.90625,0,False
23,57,7,0,0,0.890625,0,False
24,58,6,0,0,0.90625,0,False
25,57,7,0,0,0.890625,0,False
26,55,9,0,0,0.859375,0,False
27,59,5,0,0,0.921875,0,False
28,57,7,0,0,0.890625,0,False
29,58,6,0,0,0.90625,0,False
30,58,6,0,0,0.90625,0,False
31,60,4,0,0,0.9375,0,False
32,58,5,1,0,0.90625,1,False
33,59,5,0,0,0.921875,0,False
34,61,3,0,0,0.953125,0,False
35,60,4,0,0,0.9375,0,False
36,60,4,0,0,0.9375,0,False
37,57,7,0,0,0.890625,0,False
38,60,4,0,0,0.9375,0,False
39,59,5,0,0,0.921875,0,False
40,56,8,0,0,0.875,0,False
41,60,4,0,0,0.9375,0,False
42,57,6,1,0,0.890625,1,False
43,58,6,0,0,0.90625,0,False
44,58,6,0,0,0.90625,0,False
45,57,7,0,0,0.890625,0,False
46,60,4,0,0,0.9375,0,False
47,60,4,0,0,0.9375,0,False
48,61,3,0,0,0.953125,0,False
49,58,6,0,0,0.90625,0,False
50,57,7,0,0,0.890625,0,False
51,60,4,0,0,0.9375,0,False
52,60,4,0,0,0.9375,0,False
53,59,5,0,0,0.921875,0,False
54,59,5,0,0,0.921875,0,False
55,58,5,1,0,0.90625,1,False
56,59,5,0,0,0.921875,0,False
57,60,4,0,0,0.9375,0,False
58,58,6,0,0,0.90625,0,False
59,60,4,0,0,0.9375,0,False
60,58,6,0,0,0.90625,0,False
61,59,5,0,0,0.921875,0,False
62,58,6,0,0,0.90625,0,False
63,58,6,0,0,0.90625,0,False
64,57,7,0,0,0.890625,0,False
65,58,6,0,0,0.90625,0,False
66,61,3,0,0,0.953125,0,False
67,59,5,0,0,0.921875,0,False
68,55,9,0,0,0.859375,0,False
69,60,4,0,0,0.9375,0,False
70,60,4,0,0,0.9375,0,False
71,56,8,0,0,0.875,0,False
72,58,5,1,0,0.90625,1,False
73,56,8,0,0,0.875,0,False
74,58,6,0,0,0.90625,0,False
75,57,7,0,0,0.890625,0,False
76,58,6,0,0,0.90625,0,False
77,57,7,0,0,0.890625,0,False
78,57,7,0,0,0.890625,0,False
79,59,5,0,0,0.921875,0,False
80,62,2,0,0,0.96875,0,False
81,59,5,0,0,0.921875,0,False
82,58,6,0,0,0.90625,0,False
83,58,6,0,0,0.90625,0,False
84,57,7,0,0,0.890625,0,False
85,59,5,0,0,0.921875,0,False
86,59,5,0,0,0.921875,0,False
87,55,9,0,0,0.859375,0,False
88,59,5,0,0,0.921875,0,False
89,58,6,0,0,0.90625,0,False
90,58,6,0,0,0.90625,0,False
91,59,5,0,0,0.921875,0,False
92,57,7,0,0,0.890625,0,False
93,58,6,0,0,0.90625,0,False
94,59,5,0,0,0.921875,0,False
95,59,5,0,0,0.921875,0,False
96,57,7,0,0,0.890625,0,False
97,61,3,0,0,0.953125,0,False
98,58,6,0,0,0.90625,0,False
99,61,3,0,0,0.953125,0,False
100,60,4,0,0,0.9375,0,False
101,60,4,0,0,0.9375,0,False
102,58,6,0,0,0.90625,0,False
103,59,5,0,0,0.921875,0,False
104,58,6,0,0,0.90625,0,False
105,59,5,0,0,0.921875,0,False
106,56,8,0,0,0.875,0,False
107,59,5,0,0,0.921875,0,False
108,58,6,0,0,0.90625,0,False
109,58,6,0,0,0.90625,0,False
110,58,6,0,0,0.90625,0,False
111,58,6,0,0,0.90625,0,False
112,56,8,0,0,0.875,0,False
113,59,5,0,0,0.921875,0,False
114,62,2,0,0,0.96875,0,False
115,59,5,0,0,0.921875,0,False
116,62,2,0,0,0.96875,0,False
117,60,4,0,0,0.9375,0,False
118,61,3,0,0,0.953125,0,False
119,59,5,0,0,0.921875,0,False
120,62,2,0,0,0.96875,0,False
121,62,2,0,0,0.96875,0,False
122,60,4,0,0,0.9375,0,False
123,59,5,0,0,0.921875,0,False
124,60,4,0,0,0.9375,0,False
125,54,10,0,0,0.84375,0,False
126,60,4,0,0,0.9375,0,False
127,61,3,0,0,0.953125,0,False
128,58,6,0,0,0.90625,0,False
129,58,6,0,0,0.90625,0,False
130,61,3,0,0,0.953125,0,False
131,57,7,0,0,0.890625,0,False
132,59,5,0,0,0.921875,0,False
133,56,8,0,0,0.875,0,False
134,56,8,0,0,0.875,0,False
135,58,6,0,0,0.90625,0,False
136,57,7,0,0,0.890625,0,False
137,57,7,0,0,0.890625,0,False
138,56,8,0,0,0.875,0,False
139,59,5,0,0,0.921875,0,False
140,57,7,0,0,0.890625,0,False
141,59,5,0,0,0.921875,0,False
142,57,7,0,0,0.890625,0,False
143,59,5,0,0,0.921875,0,False
144,60,4,0,0,0.9375,0,False
145,59,5,0,0,0.921875,0,False
146,55,9,0,0,0.859375,0,False
147,58,6,0,0,0.90625,0,False
148,58,6,0,0,0.90625,0,False
149,60,4,0,0,0.9375,0,False
150,58,6,0,0,0.90625,0,False
151,58,6,0,0,0.90625,0,False
152,59,5,0,0,0.921875,0,False
153,60,4,0,0,0.9375,0,False
154,59,5,0,0,0.921875,0,False
155,58,6,0,0,0.90625,0,False
156,60,4,0,0,0.9375,0,False
157,58,6,0,0,0.90625,0,False
158,58,6,0,0,0.90625,0,False
159,59,5,0,0,0.921875,0,False
160,59,5,0,0,0.921875,0,False
161,58,6,0,0,0.90625,0,False
162,59,5,0,0,0.921875,0,False
163,58,6,0,0,0.90625,0,False
164,59,5,0,0,0.921875,0,False
165,58,6,0,0,0.90625,0,False
166,61,3,0,0,0.953125,0,False
167,59,5,0,0,0.921875,0,False
168,60,4,0,0,0.9375,0,False
169,59,5,0,0,0.921875,0,False
170,59,5,0,0,0.921875,0,False
171,59,5,0,0,0.921875,0,False
172,59,5,0,0,0.921875,0,False
173,57,7,0,0,0.890625,0,False
174,59,5,0,0,0.921875,0,False
175,60,4,0,0,0.9375,0,False
176,59,5,0,0,0.921875,0,False
177,59,5,0,0,0.921875,0,False
178,57,7,0,0,0.890625,0,False
179,58,6,0,0,0.90625,0,False
180,58,6,0,0,0.90625,0,False
181,60,4,0,0,0.9375,0,False
182,60,4,0,0,0.9375,0,False
183,60,4,0,0,0.9375,0,False
184,59,5,0,0,0.921875,0,False
185,60,4,0,0,0.9375,0,False
186,56,8,0,0,0.875,0,False
187,58,6,0,0,0.90625,0,False
188,60,4,0,0,0.9375,0,False
189,58,6,0,0,0.90625,0,False
190,60,4,0,0,0.9375,0,False
191,57,7,0,0,0.890625,0,False
192,58,6,0,0,0.90625,0,False
193,58,6,0,0,0.90625,0,False
194,59,5,0,0,0.921875,0,False
195,57,7,0,0,0.890625,0,False
196,56,8,0,0,0.875,0,False
197,59,5,0,0,0.921875,0,False
198,60,4,0,0,0.9375,0,False
199,59,5,0,0,0.921875,0,False
200,59,5,0,0,0.921875,0,False
201,60,4,0,0,0.9375,0,False
202,59,5,0,0,0.921875,0,False
203,59,5,0,0,0.921875,0,False
204,57,7,0,0,0.890625,0,False
205,60,4,0,0,0.9375,0,False
206,58,6,0,0,0.90625,0,False
207,58,6,0,0,0.90625,0,False
208,63,1,0,0,0.984375,0,False
209,60,4,0,0,0.9375,0,False
210,59,5,0,0,0.921875,0,False
211,60,4,0,0,0.9375,0,False
212,59,5,0,0,0.921875,0,False
213,58,6,0,0,0.90625,0,False
214,57,6,1,0,0.890625,1,False
215,55,9,0,0,0.859375,0,False
216,59,5,0,0,0.921875,0,False
217,60,4,0,0,0.9375,0,False
218,58,6,0,0,0.90625,0,False
219,57,7,0,0,0.890625,0,False
220,58,6,0,0,0.90625,0,False
221,59,5,0,0,0.921875,0,False
222,56,8,0,0,0.875,0,False
223,58,6,0,0,0.90625,0,False
224,56,7,1,0,0.875,1,False
225,60,4,0,0,0.9375,0,False
226,58,6,0,0,0.90625,0,False
227,59,5,0,0,0.921875,0,False
228,57,7,0,0,0.890625,0,False
229,56,8,0,0,0.875,0,False
230,58,6,0,0,0.90625,0,False
231,58,6,0,0,0.90625,0,False
232,58,6,0,0,0.90625,0,False
233,57,7,0,0,0.890625,0,False
234,59,5,0,0,0.921875,0,False
235,60,4,0,0,0.9375,0,False
236,58,6,0,0,0.90625,0,False
237,58,6,0,0,0.90625,0,False
238,58,6,0,0,0.90625,0,False
239,59,5,0,0,0.921875,0,False
240,59,5,0,0,0.921875,0,False
241,57,7,0,0,0.890625,0,False
242,59,5,0,0,0.921875,0,False
243,60,4,0,0,0.9375,0,False
244,57,7,0,0,0.890625,0,False
245,58,6,0,0,0.90625,0,False
246,60,4,0,0,0.9375,0,False
247,60,4,0,0,0.9375,0,False
248,60,4,0,0,0.9375,0,False
249,56,8,0,0,0.875,0,False
250,59,5,0,0,0.921875,0,False
251,56,8,0,0,0.875,0,False
252,57,7,0,0,0.890625,0,False
253,58,6,0,0,0.90625,0,False
254,61,3,0,0,0.953125,0,False
255,58,6,0,0,0.90625,0,False
256,59,5,0,0,0.921875,0,False
257,58,6,0,0,0.90625,0,False
258,57,7,0,0,0.890625,0,False
259,58,6,0,0,0.90625,0,False
260,58,6,0,0,0.90625,0,False
261,58,6,0,0,0.90625,0,False
262,63,1,0,0,0.984375,0,False
263,59,5,0,0,0.921875,0,False
264,58,6,0,0,0.90625,0,False
265,59,5,0,0,0.921875,0,False
266,62,2,0,0,0.96875,0,False
267,59,5,0,0,0.921875,0,False
268,58,6,0,0,0.90625,0,False
269,59,5,0,0,0.921875,0,False
270,57,7,0,0,0.890625,0,False
271,57,7,0,0,0.890625,0,False
272,57,7,0,0,0.890625,0,False
273,58,6,0,0,0.90625,0,False
274,57,7,0,0,0.890625,0,False
275,61,3,0,0,0.953125,0,False
276,61,3,0,0,0.953125,0,False
277,55,9,0,0,0.859375,0,False
278,59,5,0,0,0.921875,0,False
279,59,5,0,0,0.921875,0,False
280,60,4,0,0,0.9375,0,False
281,59,5,0,0,0.921875,0,False
282,59,5,0,0,0.921875,0,False
283,59,5,0,0,0.921875,0,False
284,60,4,0,0,0.9375,0,False
285,59,5,0,0,0.921875,0,False
286,56,8,0,0,0.875,0,False
287,59,5,0,0,0.921875,0,False
288,60,4,0,0,0.9375,0,False
289,56,8,0,0,0.875,0,False
290,59,5,0,0,0.921875,0,False
291,56,8,0,0,0.875,0,False
292,60,4,0,0,0.9375,0,False
293,59,5,0,0,0.921875,0,False
294,57,7,0,0,0.890625,0,False
295,60,4,0,0,0.9375,0,False
296,60,4,0,0,0.9375,0,False
297,60,4,0,0,0.9375,0,False
298,61,3,0,0,0.953125,0,False
299,60,4,0,0,0.9375,0,False
300,59,5,0,0,0.921875,0,False
301,54,10,0,0,0.84375,0,False
302,59,5,0,0,0.921875,0,False
303,62,2,0,0,0.96875,0,False
304,59,5,0,0,0.921875,0,False
305,59,5,0,0,0.921875,0,False
306,58,6,0,0,0.90625,0,False
307,57,7,0,0,0.890625,0,False
308,56,8,0,0,0.875,0,False
309,58,6,0,0,0.90625,0,False
310,61,3,0,0,0.953125,0,False
311,62,2,0,0,0.96875,0,False
312,56,7,1,0,0.875,1,False
313,58,6,0,0,0.90625,0,False
314,57,7,0,0,0.890625,0,False
315,60,4,0,0,0.9375,0,False
316,56,8,0,0,0.875,0,False
317,58,6,0,0,0.90625,0,False
318,60,4,0,0,0.9375,0,False
319,60,4,0,0,0.9375,0,False
320,57,6,1,0,0.890625,1,False
321,59,5,0,0,0.921875,0,False
322,57,7,0,0,0.890625,0,False
323,58,6,0,0,0.90625,0,False
324,56,7,1,0,0.875,1,False
325,58,6,0,0,0.90625,0,False
326,57,7,0,0,0.890625,0,False
327,56,8,0,0,0.875,0,False
328,56,8,0,0,0.875,0,False
329,60,4,0,0,0.9375,0,False
330,57,7,0,0,0.890625,0,False
331,60,4,0,0,0.9375,0,False
332,58,6,0,0,0.90625,0,False
333,57,7,0,0,0.890625,0,False
334,60,4,0,0,0.9375,0,False
335,57,7,0,0,0.890625,0,False
336,60,4,0,0,0.9375,0,False
337,58,6,0,0,0.90625,0,False
338,57,7,0,0,0.890625,0,False
339,60,4,0,0,0.9375,0,False
340,60,4,0,0,0.9375,0,False
341,60,4,0,0,0.9375,0,False
342,58,6,0,0,0.90625,0,False
343,58,6,0,0,0.90625,0,False
344,58,6,0,0,0.90625,0,False
345,58,6,0,0,0.90625,0,False
