marker_name,marker_type,n_clusters,n_permutations,correction_family_size,correction_method,correction_unit
evoked/N1,evoked,0,5000,4,fdr_bh,marker
evoked/P1,evoked,0,5000,4,fdr_bh,marker
evoked/P3a,evoked,1,5000,4,fdr_bh,marker
evoked/P3b,evoked,1,5000,4,fdr_bh,marker
sleep/PE_alpha,sleep,3,5000,19,fdr_bh,marker
sleep/PE_beta,sleep,6,5000,19,fdr_bh,marker
sleep/PE_gamma,sleep,7,5000,19,fdr_bh,marker
sleep/PE_theta,sleep,2,5000,19,fdr_bh,marker
sleep/kolmogorov_complexity,sleep,2,5000,19,fdr_bh,marker
sleep/psd_relative_alpha,sleep,1,5000,19,fdr_bh,marker
sleep/psd_relative_beta,sleep,4,5000,19,fdr_bh,marker
sleep/psd_relative_delta,sleep,2,5000,19,fdr_bh,marker
sleep/psd_relative_gamma,sleep,4,5000,19,fdr_bh,marker
sleep/psd_relative_theta,sleep,4,5000,19,fdr_bh,marker
sleep/slowwaves_Density,sleep,3,5000,19,fdr_bh,marker
sleep/slowwaves_Duration,sleep,0,5000,19,fdr_bh,marker
sleep/slowwaves_Frequency,sleep,1,5000,19,fdr_bh,marker
sleep/slowwaves_PTP,sleep,6,5000,19,fdr_bh,marker
sleep/slowwaves_Slope,sleep,3,5000,19,fdr_bh,marker
sleep/wsmi_alpha,sleep,0,5000,19,fdr_bh,marker
sleep/wsmi_beta,sleep,0,5000,19,fdr_bh,marker
sleep/wsmi_gamma,sleep,1,5000,19,fdr_bh,marker
sleep/wsmi_theta,sleep,1,5000,19,fdr_bh,marker
