marker_name,marker_type,n_clusters,min_cluster_p_uncorrected,min_cluster_p_corrected,n_sig_uncorrected,n_sig_corrected,marker_p_uncorrected,marker_p_corrected,marker_rejected,correction_method,correction_unit,correction_family_size,correction_alpha
evoked/N1,evoked,0,,,0,0,1.0,1.0,False,fdr_bh,marker,4,0.05
evoked/P1,evoked,0,,,0,0,1.0,1.0,False,fdr_bh,marker,4,0.05
evoked/P3a,evoked,1,0.01859628074385123,0.05558888222355529,1,0,0.01859628074385123,0.05558888222355529,False,fdr_bh,marker,4,0.05
evoked/P3b,evoked,1,0.027794441111777646,0.05558888222355529,1,0,0.027794441111777646,0.05558888222355529,False,fdr_bh,marker,4,0.05
sleep/PE_alpha,sleep,3,0.057588482303539294,0.15529394121175766,0,0,0.057588482303539294,0.15529394121175766,False,fdr_bh,marker,19,0.05
sleep/PE_beta,sleep,6,0.03579284143171366,0.1310737852429514,1,0,0.03579284143171366,0.1310737852429514,False,fdr_bh,marker,19,0.05
sleep/PE_gamma,sleep,7,0.0653869226154769,0.15529394121175766,0,0,0.0653869226154769,0.15529394121175766,False,fdr_bh,marker,19,0.05
sleep/PE_theta,sleep,2,0.10317936412717456,0.16336732653469305,0,0,0.10317936412717456,0.16336732653469305,False,fdr_bh,marker,19,0.05
sleep/kolmogorov_complexity,sleep,2,0.20435912817436513,0.2986787257933029,0,0,0.20435912817436513,0.2986787257933029,False,fdr_bh,marker,19,0.05
sleep/psd_relative_alpha,sleep,1,0.03199360127974405,0.1310737852429514,1,0,0.03199360127974405,0.1310737852429514,False,fdr_bh,marker,19,0.05
sleep/psd_relative_beta,sleep,4,0.02579484103179364,0.1310737852429514,1,0,0.02579484103179364,0.1310737852429514,False,fdr_bh,marker,19,0.05
sleep/psd_relative_delta,sleep,2,0.10177964407118577,0.16336732653469305,0,0,0.10177964407118577,0.16336732653469305,False,fdr_bh,marker,19,0.05
sleep/psd_relative_gamma,sleep,4,0.09038192361527694,0.16336732653469305,0,0,0.09038192361527694,0.16336732653469305,False,fdr_bh,marker,19,0.05
sleep/psd_relative_theta,sleep,4,0.041391721655668866,0.1310737852429514,1,0,0.041391721655668866,0.1310737852429514,False,fdr_bh,marker,19,0.05
sleep/slowwaves_Density,sleep,3,0.01879624075184963,0.1310737852429514,1,0,0.01879624075184963,0.1310737852429514,False,fdr_bh,marker,19,0.05
sleep/slowwaves_Duration,sleep,0,,,0,0,1.0,1.0,False,fdr_bh,marker,19,0.05
sleep/slowwaves_Frequency,sleep,1,0.395120975804839,0.5004865693527961,0,0,0.395120975804839,0.5004865693527961,False,fdr_bh,marker,19,0.05
sleep/slowwaves_PTP,sleep,6,0.016796640671865627,0.1310737852429514,1,0,0.016796640671865627,0.1310737852429514,False,fdr_bh,marker,19,0.05
sleep/slowwaves_Slope,sleep,3,0.09158168366326734,0.16336732653469305,0,0,0.09158168366326734,0.16336732653469305,False,fdr_bh,marker,19,0.05
sleep/wsmi_alpha,sleep,0,,,0,0,1.0,1.0,False,fdr_bh,marker,19,0.05
sleep/wsmi_beta,sleep,0,,,0,0,1.0,1.0,False,fdr_bh,marker,19,0.05
sleep/wsmi_gamma,sleep,1,0.4367126574685063,0.5185962807438512,0,0,0.4367126574685063,0.5185962807438512,False,fdr_bh,marker,19,0.05
sleep/wsmi_theta,sleep,1,0.24415116976604678,0.3313480161110635,0,0,0.24415116976604678,0.3313480161110635,False,fdr_bh,marker,19,0.05
