perm_idx,n_converged,n_warnings,n_failed,n_insufficient_data,convergence_rate,n_nan_t,is_degenerate
0,64,0,0,0,1.0,0,False
1,63,1,0,0,0.984375,0,False
2,63,1,0,0,0.984375,0,False
3,64,0,0,0,1.0,0,False
4,62,2,0,0,0.96875,0,False
5,64,0,0,0,1.0,0,False
6,64,0,0,0,1.0,0,False
7,63,1,0,0,0.984375,0,False
8,63,1,0,0,0.984375,0,False
9,64,0,0,0,1.0,0,False
10,64,0,0,0,1.0,0,False
11,64,0,0,0,1.0,0,False
12,64,0,0,0,1.0,0,False
13,64,0,0,0,1.0,0,False
14,64,0,0,0,1.0,0,False
15,63,1,0,0,0.984375,0,False
16,64,0,0,0,1.0,0,False
17,63,1,0,0,0.984375,0,False
18,62,2,0,0,0.96875,0,False
19,63,1,0,0,0.984375,0,False
20,62,2,0,0,0.96875,0,False
21,62,2,0,0,0.96875,0,False
22,64,0,0,0,1.0,0,False
23,63,1,0,0,0.984375,0,False
24,64,0,0,0,1.0,0,False
25,61,3,0,0,0.953125,0,False
26,63,1,0,0,0.984375,0,False
27,64,0,0,0,1.0,0,False
28,64,0,0,0,1.0,0,False
29,64,0,0,0,1.0,0,False
30,64,0,0,0,1.0,0,False
31,64,0,0,0,1.0,0,False
32,64,0,0,0,1.0,0,False
33,64,0,0,0,1.0,0,False
34,64,0,0,0,1.0,0,False
35,63,1,0,0,0.984375,0,False
36,63,1,0,0,0.984375,0,False
37,62,2,0,0,0.96875,0,False
38,64,0,0,0,1.0,0,False
39,64,0,0,0,1.0,0,False
40,63,1,0,0,0.984375,0,False
41,63,1,0,0,0.984375,0,False
42,63,1,0,0,0.984375,0,False
43,64,0,0,0,1.0,0,False
44,63,1,0,0,0.984375,0,False
45,63,1,0,0,0.984375,0,False
46,64,0,0,0,1.0,0,False
47,64,0,0,0,1.0,0,False
48,64,0,0,0,1.0,0,False
49,63,1,0,0,0.984375,0,False
50,64,0,0,0,1.0,0,False
51,63,1,0,0,0.984375,0,False
52,63,1,0,0,0.984375,0,False
53,63,1,0,0,0.984375,0,False
54,64,0,0,0,1.0,0,False
55,64,0,0,0,1.0,0,False
56,63,1,0,0,0.984375,0,False
57,62,2,0,0,0.96875,0,False
58,63,1,0,0,0.984375,0,False
59,64,0,0,0,1.0,0,False
60,61,3,0,0,0.953125,0,False
61,63,1,0,0,0.984375,0,False
62,63,1,0,0,0.984375,0,False
63,63,1,0,0,0.984375,0,False
64,63,1,0,0,0.984375,0,False
65,62,2,0,0,0.96875,0,False
66,63,1,0,0,0.984375,0,False
67,63,1,0,0,0.984375,0,False
68,63,1,0,0,0.984375,0,False
69,64,0,0,0,1.0,0,False
70,63,1,0,0,0.984375,0,False
71,63,1,0,0,0.984375,0,False
72,62,2,0,0,0.96875,0,False
73,63,1,0,0,0.984375,0,False
74,63,1,0,0,0.984375,0,False
75,63,1,0,0,0.984375,0,False
76,62,2,0,0,0.96875,0,False
77,61,3,0,0,0.953125,0,False
78,64,0,0,0,1.0,0,False
79,64,0,0,0,1.0,0,False
80,60,4,0,0,0.9375,0,False
81,61,3,0,0,0.953125,0,False
82,63,1,0,0,0.984375,0,False
83,63,1,0,0,0.984375,0,False
84,63,1,0,0,0.984375,0,False
85,63,1,0,0,0.984375,0,False
86,63,1,0,0,0.984375,0,False
87,62,2,0,0,0.96875,0,False
88,62,2,0,0,0.96875,0,False
89,62,2,0,0,0.96875,0,False
90,64,0,0,0,1.0,0,False
91,62,2,0,0,0.96875,0,False
92,62,2,0,0,0.96875,0,False
93,64,0,0,0,1.0,0,False
94,63,1,0,0,0.984375,0,False
95,62,2,0,0,0.96875,0,False
96,62,2,0,0,0.96875,0,False
97,63,1,0,0,0.984375,0,False
98,64,0,0,0,1.0,0,False
99,64,0,0,0,1.0,0,False
100,64,0,0,0,1.0,0,False
101,64,0,0,0,1.0,0,False
102,63,1,0,0,0.984375,0,False
103,64,0,0,0,1.0,0,False
104,62,2,0,0,0.96875,0,False
105,62,2,0,0,0.96875,0,False
106,64,0,0,0,1.0,0,False
107,61,3,0,0,0.953125,0,False
108,63,1,0,0,0.984375,0,False
109,63,1,0,0,0.984375,0,False
110,63,1,0,0,0.984375,0,False
111,64,0,0,0,1.0,0,False
112,63,1,0,0,0.984375,0,False
113,64,0,0,0,1.0,0,False
114,63,0,1,0,0.984375,1,False
115,63,1,0,0,0.984375,0,False
116,64,0,0,0,1.0,0,False
117,63,1,0,0,0.984375,0,False
118,64,0,0,0,1.0,0,False
119,64,0,0,0,1.0,0,False
120,64,0,0,0,1.0,0,False
121,64,0,0,0,1.0,0,False
122,64,0,0,0,1.0,0,False
123,64,0,0,0,1.0,0,False
124,63,1,0,0,0.984375,0,False
125,64,0,0,0,1.0,0,False
126,63,0,1,0,0.984375,1,False
127,61,3,0,0,0.953125,0,False
128,64,0,0,0,1.0,0,False
129,64,0,0,0,1.0,0,False
130,63,1,0,0,0.984375,0,False
131,63,1,0,0,0.984375,0,False
132,64,0,0,0,1.0,0,False
133,63,1,0,0,0.984375,0,False
134,63,1,0,0,0.984375,0,False
135,64,0,0,0,1.0,0,False
136,63,1,0,0,0.984375,0,False
137,64,0,0,0,1.0,0,False
138,64,0,0,0,1.0,0,False
139,64,0,0,0,1.0,0,False
140,63,1,0,0,0.984375,0,False
141,63,1,0,0,0.984375,0,False
142,63,1,0,0,0.984375,0,False
143,64,0,0,0,1.0,0,False
144,64,0,0,0,1.0,0,False
145,64,0,0,0,1.0,0,False
146,64,0,0,0,1.0,0,False
147,63,1,0,0,0.984375,0,False
148,64,0,0,0,1.0,0,False
149,62,2,0,0,0.96875,0,False
150,63,1,0,0,0.984375,0,False
151,62,2,0,0,0.96875,0,False
152,62,2,0,0,0.96875,0,False
153,63,1,0,0,0.984375,0,False
154,63,1,0,0,0.984375,0,False
155,64,0,0,0,1.0,0,False
156,64,0,0,0,1.0,0,False
157,64,0,0,0,1.0,0,False
158,63,1,0,0,0.984375,0,False
159,62,2,0,0,0.96875,0,False
160,63,1,0,0,0.984375,0,False
161,64,0,0,0,1.0,0,False
162,63,1,0,0,0.984375,0,False
163,64,0,0,0,1.0,0,False
164,62,2,0,0,0.96875,0,False
165,63,1,0,0,0.984375,0,False
166,62,2,0,0,0.96875,0,False
167,64,0,0,0,1.0,0,False
168,63,1,0,0,0.984375,0,False
169,64,0,0,0,1.0,0,False
170,64,0,0,0,1.0,0,False
171,64,0,0,0,1.0,0,False
172,61,3,0,0,0.953125,0,False
173,62,2,0,0,0.96875,0,False
174,64,0,0,0,1.0,0,False
175,63,1,0,0,0.984375,0,False
176,64,0,0,0,1.0,0,False
177,64,0,0,0,1.0,0,False
178,61,3,0,0,0.953125,0,False
179,63,1,0,0,0.984375,0,False
180,63,1,0,0,0.984375,0,False
181,64,0,0,0,1.0,0,False
182,64,0,0,0,1.0,0,False
183,63,1,0,0,0.984375,0,False
184,64,0,0,0,1.0,0,False
185,64,0,0,0,1.0,0,False
186,64,0,0,0,1.0,0,False
187,63,1,0,0,0.984375,0,False
188,63,1,0,0,0.984375,0,False
189,64,0,0,0,1.0,0,False
190,64,0,0,0,1.0,0,False
191,64,0,0,0,1.0,0,False
192,62,2,0,0,0.96875,0,False
193,63,1,0,0,0.984375,0,False
194,64,0,0,0,1.0,0,False
195,62,2,0,0,0.96875,0,False
196,64,0,0,0,1.0,0,False
197,64,0,0,0,1.0,0,False
198,64,0,0,0,1.0,0,False
199,64,0,0,0,1.0,0,False
200,63,1,0,0,0.984375,0,False
201,63,1,0,0,0.984375,0,False
202,62,2,0,0,0.96875,0,False
203,62,2,0,0,0.96875,0,False
204,63,1,0,0,0.984375,0,False
205,64,0,0,0,1.0,0,False
206,64,0,0,0,1.0,0,False
207,63,1,0,0,0.984375,0,False
208,63,1,0,0,0.984375,0,False
209,63,1,0,0,0.984375,0,False
210,63,1,0,0,0.984375,0,False
211,64,0,0,0,1.0,0,False
212,63,1,0,0,0.984375,0,False
213,62,2,0,0,0.96875,0,False
214,63,1,0,0,0.984375,0,False
215,64,0,0,0,1.0,0,False
216,63,1,0,0,0.984375,0,False
217,63,1,0,0,0.984375,0,False
218,64,0,0,0,1.0,0,False
219,62,2,0,0,0.96875,0,False
220,62,2,0,0,0.96875,0,False
221,62,2,0,0,0.96875,0,False
222,63,1,0,0,0.984375,0,False
223,64,0,0,0,1.0,0,False
224,62,2,0,0,0.96875,0,False
225,62,2,0,0,0.96875,0,False
226,64,0,0,0,1.0,0,False
227,64,0,0,0,1.0,0,False
228,64,0,0,0,1.0,0,False
229,63,1,0,0,0.984375,0,False
230,63,1,0,0,0.984375,0,False
231,63,1,0,0,0.984375,0,False
232,63,1,0,0,0.984375,0,False
233,63,1,0,0,0.984375,0,False
234,63,1,0,0,0.984375,0,False
235,64,0,0,0,1.0,0,False
236,63,1,0,0,0.984375,0,False
237,62,2,0,0,0.96875,0,False
238,63,1,0,0,0.984375,0,False
239,63,1,0,0,0.984375,0,False
240,63,1,0,0,0.984375,0,False
241,62,2,0,0,0.96875,0,False
242,64,0,0,0,1.0,0,False
243,64,0,0,0,1.0,0,False
244,64,0,0,0,1.0,0,False
245,64,0,0,0,1.0,0,False
246,63,1,0,0,0.984375,0,False
247,63,1,0,0,0.984375,0,False
248,64,0,0,0,1.0,0,False
249,63,1,0,0,0.984375,0,False
250,62,2,0,0,0.96875,0,False
251,63,1,0,0,0.984375,0,False
252,63,1,0,0,0.984375,0,False
253,62,2,0,0,0.96875,0,False
254,64,0,0,0,1.0,0,False
255,63,1,0,0,0.984375,0,False
256,64,0,0,0,1.0,0,False
257,62,2,0,0,0.96875,0,False
258,63,1,0,0,0.984375,0,False
259,63,1,0,0,0.984375,0,False
260,64,0,0,0,1.0,0,False
261,64,0,0,0,1.0,0,False
262,63,1,0,0,0.984375,0,False
263,63,1,0,0,0.984375,0,False
264,64,0,0,0,1.0,0,False
265,63,1,0,0,0.984375,0,False
266,64,0,0,0,1.0,0,False
267,62,2,0,0,0.96875,0,False
268,64,0,0,0,1.0,0,False
269,64,0,0,0,1.0,0,False
270,62,2,0,0,0.96875,0,False
271,61,3,0,0,0.953125,0,False
272,64,0,0,0,1.0,0,False
273,63,1,0,0,0.984375,0,False
274,63,1,0,0,0.984375,0,False
275,63,1,0,0,0.984375,0,False
276,62,2,0,0,0.96875,0,False
277,64,0,0,0,1.0,0,False
278,64,0,0,0,1.0,0,False
279,64,0,0,0,1.0,0,False
280,63,1,0,0,0.984375,0,False
281,63,1,0,0,0.984375,0,False
282,64,0,0,0,1.0,0,False
283,62,2,0,0,0.96875,0,False
284,62,2,0,0,0.96875,0,False
285,64,0,0,0,1.0,0,False
286,64,0,0,0,1.0,0,False
287,63,1,0,0,0.984375,0,False
288,64,0,0,0,1.0,0,False
289,64,0,0,0,1.0,0,False
290,64,0,0,0,1.0,0,False
291,62,2,0,0,0.96875,0,False
292,64,0,0,0,1.0,0,False
293,64,0,0,0,1.0,0,False
294,63,1,0,0,0.984375,0,False
295,64,0,0,0,1.0,0,False
296,64,0,0,0,1.0,0,False
297,63,1,0,0,0.984375,0,False
298,64,0,0,0,1.0,0,False
299,64,0,0,0,1.0,0,False
300,60,4,0,0,0.9375,0,False
301,63,1,0,0,0.984375,0,False
302,64,0,0,0,1.0,0,False
303,64,0,0,0,1.0,0,False
304,64,0,0,0,1.0,0,False
305,64,0,0,0,1.0,0,False
306,64,0,0,0,1.0,0,False
307,63,1,0,0,0.984375,0,False
308,64,0,0,0,1.0,0,False
309,61,3,0,0,0.953125,0,False
310,60,4,0,0,0.9375,0,False
311,64,0,0,0,1.0,0,False
312,63,1,0,0,0.984375,0,False
313,64,0,0,0,1.0,0,False
314,63,1,0,0,0.984375,0,False
315,64,0,0,0,1.0,0,False
316,64,0,0,0,1.0,0,False
317,63,1,0,0,0.984375,0,False
318,61,2,1,0,0.953125,1,False
319,63,1,0,0,0.984375,0,False
320,64,0,0,0,1.0,0,False
321,64,0,0,0,1.0,0,False
322,64,0,0,0,1.0,0,False
323,63,1,0,0,0.984375,0,False
324,63,1,0,0,0.984375,0,False
325,64,0,0,0,1.0,0,False
326,62,2,0,0,0.96875,0,False
327,63,1,0,0,0.984375,0,False
328,63,1,0,0,0.984375,0,False
329,64,0,0,0,1.0,0,False
330,63,1,0,0,0.984375,0,False
331,64,0,0,0,1.0,0,False
332,62,2,0,0,0.96875,0,False
333,61,3,0,0,0.953125,0,False
334,64,0,0,0,1.0,0,False
335,63,1,0,0,0.984375,0,False
336,64,0,0,0,1.0,0,False
337,64,0,0,0,1.0,0,False
338,64,0,0,0,1.0,0,False
339,64,0,0,0,1.0,0,False
340,64,0,0,0,1.0,0,False
341,63,1,0,0,0.984375,0,False
342,63,1,0,0,0.984375,0,False
343,62,2,0,0,0.96875,0,False
344,62,2,0,0,0.96875,0,False
345,64,0,0,0,1.0,0,False
346,63,1,0,0,0.984375,0,False
347,64,0,0,0,1.0,0,False
348,64,0,0,0,1.0,0,False
349,63,1,0,0,0.984375,0,False
350,61,3,0,0,0.953125,0,False
351,64,0,0,0,1.0,0,False
352,63,1,0,0,0.984375,0,False
353,64,0,0,0,1.0,0,False
354,64,0,0,0,1.0,0,False
355,64,0,0,0,1.0,0,False
356,63,1,0,0,0.984375,0,False
357,63,1,0,0,0.984375,0,False
358,64,0,0,0,1.0,0,False
359,63,1,0,0,0.984375,0,False
360,63,1,0,0,0.984375,0,False
361,63,1,0,0,0.984375,0,False
362,64,0,0,0,1.0,0,False
363,64,0,0,0,1.0,0,False
364,64,0,0,0,1.0,0,False
365,62,2,0,0,0.96875,0,False
366,64,0,0,0,1.0,0,False
367,62,2,0,0,0.96875,0,False
368,63,1,0,0,0.984375,0,False
369,64,0,0,0,1.0,0,False
370,62,2,0,0,0.96875,0,False
371,64,0,0,0,1.0,0,False
372,62,2,0,0,0.96875,0,False
373,62,2,0,0,0.96875,0,False
374,63,1,0,0,0.984375,0,False
375,64,0,0,0,1.0,0,False
376,62,2,0,0,0.96875,0,False
377,64,0,0,0,1.0,0,False
378,63,1,0,0,0.984375,0,False
379,62,2,0,0,0.96875,0,False
380,62,2,0,0,0.96875,0,False
381,62,2,0,0,0.96875,0,False
382,61,3,0,0,0.953125,0,False
383,62,2,0,0,0.96875,0,False
384,64,0,0,0,1.0,0,False
385,64,0,0,0,1.0,0,False
386,64,0,0,0,1.0,0,False
387,64,0,0,0,1.0,0,False
388,64,0,0,0,1.0,0,False
389,64,0,0,0,1.0,0,False
390,63,1,0,0,0.984375,0,False
391,63,1,0,0,0.984375,0,False
392,63,1,0,0,0.984375,0,False
393,63,1,0,0,0.984375,0,False
394,62,2,0,0,0.96875,0,False
395,61,3,0,0,0.953125,0,False
396,64,0,0,0,1.0,0,False
397,64,0,0,0,1.0,0,False
398,63,1,0,0,0.984375,0,False
399,64,0,0,0,1.0,0,False
400,64,0,0,0,1.0,0,False
401,63,1,0,0,0.984375,0,False
402,63,1,0,0,0.984375,0,False
403,64,0,0,0,1.0,0,False
404,64,0,0,0,1.0,0,False
405,64,0,0,0,1.0,0,False
406,64,0,0,0,1.0,0,False
407,63,1,0,0,0.984375,0,False
408,63,1,0,0,0.984375,0,False
409,64,0,0,0,1.0,0,False
410,62,2,0,0,0.96875,0,False
411,63,1,0,0,0.984375,0,False
412,63,1,0,0,0.984375,0,False
413,61,3,0,0,0.953125,0,False
414,61,3,0,0,0.953125,0,False
415,61,3,0,0,0.953125,0,False
416,63,1,0,0,0.984375,0,False
417,63,1,0,0,0.984375,0,False
418,64,0,0,0,1.0,0,False
419,61,3,0,0,0.953125,0,False
420,61,3,0,0,0.953125,0,False
421,63,1,0,0,0.984375,0,False
422,63,1,0,0,0.984375,0,False
423,63,1,0,0,0.984375,0,False
424,63,1,0,0,0.984375,0,False
425,64,0,0,0,1.0,0,False
426,62,2,0,0,0.96875,0,False
427,62,2,0,0,0.96875,0,False
428,62,2,0,0,0.96875,0,False
429,64,0,0,0,1.0,0,False
430,63,1,0,0,0.984375,0,False
431,59,4,1,0,0.921875,1,False
432,63,1,0,0,0.984375,0,False
433,64,0,0,0,1.0,0,False
434,64,0,0,0,1.0,0,False
435,63,1,0,0,0.984375,0,False
436,64,0,0,0,1.0,0,False
437,64,0,0,0,1.0,0,False
438,63,1,0,0,0.984375,0,False
439,64,0,0,0,1.0,0,False
440,64,0,0,0,1.0,0,False
441,63,1,0,0,0.984375,0,False
442,63,1,0,0,0.984375,0,False
443,61,3,0,0,0.953125,0,False
444,62,2,0,0,0.96875,0,False
445,63,1,0,0,0.984375,0,False
446,64,0,0,0,1.0,0,False
447,61,3,0,0,0.953125,0,False
448,64,0,0,0,1.0,0,False
449,64,0,0,0,1.0,0,False
450,64,0,0,0,1.0,0,False
451,64,0,0,0,1.0,0,False
452,62,2,0,0,0.96875,0,False
453,63,1,0,0,0.984375,0,False
454,63,1,0,0,0.984375,0,False
455,62,2,0,0,0.96875,0,False
456,63,1,0,0,0.984375,0,False
457,64,0,0,0,1.0,0,False
458,64,0,0,0,1.0,0,False
459,64,0,0,0,1.0,0,False
460,63,1,0,0,0.984375,0,False
461,62,2,0,0,0.96875,0,False
462,64,0,0,0,1.0,0,False
463,64,0,0,0,1.0,0,False
464,63,1,0,0,0.984375,0,False
465,64,0,0,0,1.0,0,False
466,64,0,0,0,1.0,0,False
467,63,1,0,0,0.984375,0,False
468,64,0,0,0,1.0,0,False
469,63,1,0,0,0.984375,0,False
470,62,2,0,0,0.96875,0,False
471,62,2,0,0,0.96875,0,False
472,64,0,0,0,1.0,0,False
473,63,1,0,0,0.984375,0,False
474,64,0,0,0,1.0,0,False
475,62,2,0,0,0.96875,0,False
476,64,0,0,0,1.0,0,False
477,64,0,0,0,1.0,0,False
478,64,0,0,0,1.0,0,False
479,64,0,0,0,1.0,0,False
480,64,0,0,0,1.0,0,False
481,61,3,0,0,0.953125,0,False
482,64,0,0,0,1.0,0,False
483,64,0,0,0,1.0,0,False
484,63,1,0,0,0.984375,0,False
485,59,5,0,0,0.921875,0,False
486,64,0,0,0,1.0,0,False
487,63,1,0,0,0.984375,0,False
488,63,1,0,0,0.984375,0,False
489,62,2,0,0,0.96875,0,False
490,63,1,0,0,0.984375,0,False
491,63,1,0,0,0.984375,0,False
492,63,1,0,0,0.984375,0,False
493,64,0,0,0,1.0,0,False
494,63,1,0,0,0.984375,0,False
495,64,0,0,0,1.0,0,False
496,63,1,0,0,0.984375,0,False
497,63,1,0,0,0.984375,0,False
498,63,1,0,0,0.984375,0,False
499,64,0,0,0,1.0,0,False
500,62,2,0,0,0.96875,0,False
501,64,0,0,0,1.0,0,False
502,64,0,0,0,1.0,0,False
503,64,0,0,0,1.0,0,False
504,64,0,0,0,1.0,0,False
505,60,4,0,0,0.9375,0,False
506,64,0,0,0,1.0,0,False
507,63,1,0,0,0.984375,0,False
508,63,1,0,0,0.984375,0,False
509,64,0,0,0,1.0,0,False
510,61,3,0,0,0.953125,0,False
511,63,1,0,0,0.984375,0,False
512,63,1,0,0,0.984375,0,False
513,62,2,0,0,0.96875,0,False
514,64,0,0,0,1.0,0,False
515,62,2,0,0,0.96875,0,False
516,63,1,0,0,0.984375,0,False
517,62,2,0,0,0.96875,0,False
518,64,0,0,0,1.0,0,False
519,63,1,0,0,0.984375,0,False
520,63,1,0,0,0.984375,0,False
521,64,0,0,0,1.0,0,False
522,62,2,0,0,0.96875,0,False
523,64,0,0,0,1.0,0,False
524,62,2,0,0,0.96875,0,False
525,63,1,0,0,0.984375,0,False
526,63,1,0,0,0.984375,0,False
527,63,1,0,0,0.984375,0,False
528,63,1,0,0,0.984375,0,False
529,63,1,0,0,0.984375,0,False
530,62,2,0,0,0.96875,0,False
531,63,1,0,0,0.984375,0,False
532,62,2,0,0,0.96875,0,False
533,62,2,0,0,0.96875,0,False
534,64,0,0,0,1.0,0,False
535,62,2,0,0,0.96875,0,False
536,64,0,0,0,1.0,0,False
537,63,1,0,0,0.984375,0,False
538,63,1,0,0,0.984375,0,False
539,64,0,0,0,1.0,0,False
540,62,2,0,0,0.96875,0,False
541,62,2,0,0,0.96875,0,False
542,64,0,0,0,1.0,0,False
543,62,2,0,0,0.96875,0,False
544,63,1,0,0,0.984375,0,False
545,63,1,0,0,0.984375,0,False
546,63,1,0,0,0.984375,0,False
547,64,0,0,0,1.0,0,False
548,62,2,0,0,0.96875,0,False
549,62,2,0,0,0.96875,0,False
550,64,0,0,0,1.0,0,False
551,63,1,0,0,0.984375,0,False
